"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"690","Lawson Crouse","ARI","L","21","1997-06-23","Mt. Brydges","ON","CAN","CAN","76","220","2015","FLA","1","11","11"
"110","Leo Komarov","NYI","C, R","32","1987-01-23","Narva","","EST","FIN","71","209","2006","TOR","6","27","180"
"585","Leon Draisaitl","EDM","C","23","1995-10-27","Cologne","","DEU","DEU","74","208","2014","EDM","1","3","3"
"795","Lias Andersson","NYR","C","20","1998-10-13","Smogen","","SWE","SWE","72","204","2017","NYR","1","7","7"
"805","Libor Sulak","DET","D","24","1994-03-04","Pelhrimov","","CZE","CZE","74","207","-","-","-","-","-"
"147","Logan Couture","S.J","C","29","1989-03-28","Guelph","ON","CAN","CAN","73","200","2007","S.J","1","9","9"
"831","Logan O'Connor","COL","R","22","1996-08-14","Missouri City","TX","USA","USA","72","175","-","-","-","-","-"
"44","Loui Eriksson","VAN","L","33","1985-07-17","Gothenburg","","SWE","SWE","74","179","2003","DAL","2","3","33"
"623","Louie Belpedio","MIN","D","22","1996-05-14","Skokie","IL","USA","USA","71","196","2014","MIN","3","20","80"
"189","Luca Sbisa","NYI","D","29","1990-01-30","Ozieri","","ITA","CHE","74","204","2008","PHI","1","19","19"
"625","Lucas Wallmark","CAR","C","23","1995-09-05","Umea","","SWE","SWE","72","178","2014","CAR","4","7","97"
"814","Lukas Radil","S.J","C","28","1990-08-05","Caslav","","CZE","CZE","74","200","-","-","-","-","-"
"352","Lukas Sedlak","CBJ","C","25","1993-02-25","Ceské Budejovice","","CZE","CZE","72","205","2011","CBJ","6","7","158"
"426","Luke Glendening","DET","C","29","1989-04-28","Grand Rapids","MI","USA","USA","71","192","-","-","-","-","-"
"508","Luke Johnson","CHI","C","24","1994-09-19","Grand Forks","ND","USA","USA","71","179","2013","CHI","5","13","134"
"729","Luke Kunin","MIN","C","21","1997-12-04","Chesterfield","MO","USA","USA","72","195","2016","MIN","1","15","15"
"183","Luke Schenn","ANA","D","29","1989-11-02","Saskatoon","SK","CAN","CAN","74","221","2008","TOR","1","5","5"
"215","Luke Witkowski","DET","R","28","1990-04-14","Holland","MI","USA","USA","74","210","2008","T.B","6","9","160"
"460","Mackenzie MacEachern","STL","L","24","1994-03-09","Bloomfield Hills","MI","USA","USA","74","190","2012","STL","3","6","67"
"503","MacKenzie Weegar","FLA","D","25","1994-01-07","Ottawa","ON","CAN","CAN","72","200","2013","FLA","7","25","206"
"541","Madison Bowey","WSH","D","23","1995-04-22","Winnipeg","MB","CAN","CAN","74","198","2013","WSH","2","23","53"
"237","Magnus Paajarvi","OTT","L","27","1991-04-12","Norrkoping","","SWE","SWE","75","206","2009","EDM","1","10","10"
"49","Marc Methot","DAL","D","33","1985-06-21","Ottawa","ON","CAN","CAN","76","230","2003","CBJ","6","1","168"
"80","Marc Staal","NYR","D","32","1987-01-13","Thunder Bay","ON","CAN","CAN","76","213","2005","NYR","1","12","12"
"86","Marc-Edouard Vlasic","S.J","D","31","1987-03-30","Montreal","QC","CAN","CAN","73","205","2005","S.J","2","5","35"
"200","Marco Scandella","BUF","D","28","1990-02-23","Montreal","QC","CAN","CAN","75","210","2008","MIN","2","25","55"
"255","Marcus Foligno","MIN","L","27","1991-08-10","Buffalo","NY","USA","CAN","75","228","2009","BUF","4","13","104"
"224","Marcus Johansson","N.J","L","28","1990-10-06","Landskrona","","SWE","SWE","73","205","2009","WSH","1","24","24"
"272","Marcus Kruger","CHI","C","28","1990-05-27","Stockholm","","SWE","SWE","72","186","2009","CHI","5","28","149"
"615","Marcus Pettersson","ANA, PIT","D","22","1996-05-08","Skellefteå","","SWE","SWE","76","177","2014","ANA","2","8","38"
"329","Marcus Sorensen","S.J","L","26","1992-04-07","Sodertalje","","SWE","SWE","71","175","2010","OTT","4","16","106"
"159","Mario Kempe","ARI","R","30","1988-09-19","Kramfors","","SWE","SWE","72","185","2007","PHI","5","1","122"
"293","Mark Alt","COL","D","27","1991-10-18","Kansas City","MO","USA","USA","76","201","2010","CAR","2","23","53"
"214","Mark Barberio","COL","D","28","1990-03-23","Montreal","QC","CAN","CAN","73","200","2008","T.B","6","1","152"
"210","Mark Borowiecki","OTT","D","29","1989-07-12","Ottawa","ON","CAN","CAN","73","207","2008","OTT","5","18","139"
"54","Mark Giordano","CGY","D","35","1983-10-03","Toronto","ON","CAN","CAN","72","200","-","-","-","-","-"
"439","Mark Jankowski","CGY","C","24","1994-09-13","Hamilton","ON","CAN","CAN","76","212","2012","CGY","1","21","21"
"131","Mark Letestu","CBJ","C","34","1985-02-04","Elk Point","AB","CAN","CAN","70","195","-","-","-","-","-"
"321","Mark Pysyk","FLA","D","27","1992-01-11","Sherwood Park","AB","CAN","CAN","73","200","2010","BUF","1","23","23"
"399","Mark Scheifele","WPG","C","25","1993-03-15","Kitchener","ON","CAN","CAN","75","207","2011","WPG","1","7","7"
"340","Mark Stone","OTT","R","26","1992-05-13","Winnipeg","MB","CAN","CAN","75","219","2010","OTT","6","28","178"
"526","Marko Dano","COL","C","24","1994-11-30","Eisenstadt","","AUT","SVK","71","212","2013","CBJ","1","27","27"
"385","Markus Granlund","VAN","C","25","1993-04-16","Oulu","","FIN","FIN","72","180","2011","CGY","2","15","45"
"700","Markus Hannikainen","CBJ","L","25","1993-03-26","Helsinki","","FIN","FIN","73","200","-","-","-","-","-"
"719","Markus Nutivaara","CBJ","D","24","1994-06-06","Oulu","","FIN","FIN","73","191","2015","CBJ","7","8","189"
"469","Martin Frk","DET","R","25","1993-10-05","Pelhrimov","","CZE","CZE","73","205","2012","DET","2","19","49"
"81","Martin Hanzal","DAL","C","31","1987-02-20","Pisek","","CZE","CZE","78","230","2005","PHX","1","17","17"
"287","Martin Marincin","TOR","D","26","1992-02-18","Kosice","","SVK","SVK","77","213","2010","EDM","2","16","46"
"794","Martin Necas","CAR","C","20","1999-01-15","Nove Mesto na Morave","","CZE","CZE","73","167","2017","CAR","1","12","12"
"718","Mason Appleton","WPG","C","23","1996-01-15","Green Bay","WI","USA","USA","74","193","2015","WPG","6","17","168"
"677","Mathew Barzal","NYI","C","21","1997-05-26","Coquitlam","BC","CAN","CAN","72","187","2015","NYI","1","16","16"
"689","Mathieu Joseph","T.B","R","21","1997-02-09","Laval","QC","CAN","CAN","73","190","2015","T.B","4","29","120"
"129","Mathieu Perreault","WPG","C, L","31","1988-01-05","Drummondville","QC","CAN","CAN","70","188","2006","WSH","6","24","177"
"284","Mats Zuccarello","NYR","R","31","1987-09-01","Oslo","","NOR","NOR","68","184","-","-","-","-","-"
"217","Matt Bartkowski","MIN","D","30","1988-06-04","Pittsburgh","PA","USA","USA","73","198","2008","FLA","7","9","190"
"113","Matt Beleskey","NYR","L","30","1988-06-07","Windsor","ON","CAN","CAN","72","207","2006","ANA","4","19","112"
"208","Matt Calvert","COL","L","29","1989-12-24","Brandon","MB","CAN","CAN","71","186","2008","CBJ","5","6","127"
"1","Matt Cullen","PIT","C","42","1976-11-02","Virginia","MN","USA","USA","73","202","1996","ANA","2","9","35"
"232","Matt Duchene","OTT","C","28","1991-01-16","Haliburton","ON","CAN","CAN","71","195","2009","COL","1","3","3"
"432","Matt Dumba","MIN","D","24","1994-07-25","Regina","SK","CAN","CAN","72","182","2012","MIN","1","7","7"
"453","Matt Grzelcyk","BOS","D","25","1994-01-05","Charlestown","MA","USA","USA","69","174","2012","BOS","3","24","85"
"10","Matt Hendricks","MIN","C","37","1981-06-17","Blaine","MN","USA","USA","72","211","2000","NSH","5","1","131"
"72","Matt Hunwick","BUF","D","33","1985-05-21","Warren","MI","USA","USA","71","194","2004","BOS","7","31","224"
"282","Matt Irwin","NSH","D","31","1987-11-29","Victoria","BC","CAN","CAN","73","207","-","-","-","-","-"
"771","Matt Luff","L.A","R","21","1997-05-05","Oakville","ON","CAN","CAN","74","196","-","-","-","-","-"
"211","Matt Martin","NYI","L","29","1989-05-08","Windsor","ON","CAN","CAN","75","220","2008","NYI","5","27","148"
"387","Matt Nieto","COL","L","26","1992-11-05","Long Beach","CA","USA","USA","71","190","2011","S.J","2","17","47"
"84","Matt Niskanen","WSH","D","32","1986-12-06","Virginia","MN","USA","USA","73","203","2005","DAL","1","28","28"
"344","Matt Read","MIN","R","32","1986-06-14","Ilderton","ON","CAN","CAN","70","188","-","-","-","-","-"
"425","Matt Tennyson","BUF","D","28","1990-04-23","Minneapolis","MN","USA","USA","74","205","-","-","-","-","-"
"485","Matthew Benning","EDM","D","24","1994-05-25","Edmonton","AB","CAN","CAN","73","203","2012","BOS","6","24","175"
"349","Matthew Peca","MTL","C","25","1993-04-27","Petawawa","ON","CAN","CAN","68","182","2011","T.B","7","20","201"
"727","Matthew Tkachuk","CGY","L","21","1997-12-11","Scottsdale","AZ","USA","USA","74","202","2016","CGY","1","6","6"
"254","Mattias Ekholm","NSH","D","28","1990-05-24","Borlange","","SWE","SWE","76","215","2009","NSH","4","11","102"
"514","Mattias Janmark","DAL","C","26","1992-12-08","Stockholm","","SWE","SWE","73","195","2013","DET","3","18","79"
"791","Max Comtois","ANA","L","20","1999-01-08","Longueuil","QC","CAN","CAN","74","207","2017","ANA","2","19","50"
"557","Max Domi","MTL","C, L","23","1995-03-02","Winnipeg","MB","CAN","CAN","70","193","2013","PHX","1","12","12"
"744","Max Jones","ANA","L","20","1998-02-17","Rochester","MI","USA","USA","75","220","2016","ANA","1","24","24"
"354","Max McCormick","OTT","L","26","1992-05-01","De Pere","WI","USA","USA","71","188","2011","OTT","6","20","171"
"166","Max Pacioretty","VGK","L","30","1988-11-20","New Canaan","CT","USA","USA","74","206","2007","MTL","1","22","22"
"769","Maxim Mamin","FLA","C","24","1995-01-13","Moscow","","RUS","RUS","74","206","2016","FLA","6","24","175"
"731","Maxime Lajoie","OTT","D","21","1997-11-05","Quebec City","QC","CAN","CAN","73","183","2016","OTT","5","12","133"
"580","Melker Karlsson","S.J","C","28","1990-07-18","Lycksele","","SWE","SWE","72","180","-","-","-","-","-"
"624","Michael Amadio","L.A","C","22","1996-05-13","Sault Ste. Marie","ON","CAN","CAN","73","204","2014","L.A","3","30","90"
"631","Michael Bunting","ARI","L","23","1995-09-17","Scarborough","ON","CAN","CAN","71","197","2014","ARI","4","27","117"
"325","Michael Chaput","MTL","C","26","1992-04-09","Ile Bizard","QC","CAN","CAN","74","199","2010","PHI","3","29","89"
"587","Michael Dal Colle","NYI","L","22","1996-06-20","Richmond Hill","ON","CAN","CAN","75","204","2014","NYI","1","5","5"
"191","Michael Del Zotto","ANA, VAN","D","28","1990-06-24","Stouffville","ON","CAN","CAN","72","201","2008","NYR","1","20","20"
"124","Michael Frolik","CGY","R","30","1988-02-17","Kladno","","CZE","CZE","73","190","2006","FLA","1","10","10"
"120","Michael Grabner","ARI","R","31","1987-10-05","Villach","","AUT","AUT","73","188","2006","VAN","1","14","14"
"757","Michael McLeod","N.J","C","21","1998-02-03","Mississauga","ON","CAN","CAN","74","188","2016","N.J","1","12","12"
"500","Michael Raffl","PHI","L","30","1988-12-01","Villach","","AUT","AUT","72","200","-","-","-","-","-"
"781","Michael Rasmussen","DET","C","19","1999-04-17","Vancouver","BC","CAN","CAN","78","221","2017","DET","1","9","9"
"202","Michael Stone","CGY","D","28","1990-06-07","Winnipeg","MB","CAN","CAN","75","210","2008","PHX","3","8","69"
"767","Michal Kempny","WSH","D","28","1990-09-08","Hodonin","","CZE","CZE","72","194","-","-","-","-","-"
"339","Micheal Ferland","CAR","L","26","1992-04-20","Swan River","MB","CAN","CAN","74","217","2010","CGY","5","13","133"
"175","Micheal Haley","FLA","C","32","1986-03-30","Guelph","ON","CAN","CAN","71","205","-","-","-","-","-"
"389","Miikka Salomaki","NSH","R","25","1993-03-09","Raahe","","FIN","FIN","71","203","2011","NSH","2","22","52"
"398","Mika Zibanejad","NYR","C","25","1993-04-18","Huddinge","","SWE","SWE","74","213","2011","OTT","1","6","6"
"164","Mikael Backlund","CGY","C","29","1989-03-17","Vasteras","","SWE","SWE","73","200","2007","CGY","1","24","24"
"322","Mikael Granlund","MIN","R","26","1992-02-26","Oulu","","FIN","FIN","70","185","2010","MIN","1","9","9"
"62","Mike Green","DET","D","33","1985-10-12","Calgary","AB","CAN","CAN","73","207","2004","WSH","1","29","29"
"222","Mike Hoffman","FLA","L","29","1989-11-24","Kitchener","ON","CAN","CAN","72","180","2009","OTT","5","9","130"
"441","Mike Matheson","FLA","D","24","1994-02-27","Pointe-Claire","QC","CAN","CAN","74","193","2012","FLA","1","23","23"
"374","Mike Reilly","MTL","D","25","1993-07-13","Chicago","IL","USA","USA","74","195","2011","CBJ","4","7","98"
"755","Mikhail Sergachev","T.B","D","20","1998-06-25","Nizhnekamsk","","RUS","RUS","75","215","2016","MTL","1","9","9"
"709","Mikhail Vorobyev","PHI","C","22","1997-01-05","Ufa","","RUS","RUS","74","194","2015","PHI","4","13","104"
"185","Mikkel Boedker","OTT","L","29","1989-12-16","Brondby","","DNK","DNK","72","210","2008","PHX","1","8","8"
"14","Mikko Koivu","MIN","C","35","1983-03-12","Turku","","FIN","FIN","75","219","2001","MIN","1","6","6"
"666","Mikko Rantanen","COL","R","22","1996-10-29","Nousiainen","","FIN","FIN","76","215","2015","COL","1","10","10"
"112","Milan Lucic","EDM","L","30","1988-06-07","Vancouver","BC","CAN","CAN","75","231","2006","BOS","2","20","50"
"519","Miles Wood","N.J","L","23","1995-09-13","Buffalo","NY","USA","USA","74","195","2013","N.J","4","9","100"
"562","Mirco Mueller","N.J","D","23","1995-03-21","Winterthur","","CHE","CHE","75","210","2013","S.J","1","18","18"
"793","Miro Heiskanen","DAL","D","19","1999-07-18","Espoo","","FIN","FIN","73","185","2017","DAL","1","3","3"
"691","Mitchell Marner","TOR","C, R","21","1997-05-05","Markham","ON","CAN","CAN","72","175","2015","TOR","1","4","4"
"430","Morgan Rielly","TOR","D","24","1994-03-09","Vancouver","BC","CAN","CAN","73","221","2012","TOR","1","5","5"
"281","Nate Prosser","MIN","D","32","1986-05-07","Elk River","MN","USA","USA","74","201","-","-","-","-","-"
"497","Nate Schmidt","VGK","D","27","1991-07-16","St. Cloud","MN","USA","USA","73","194","-","-","-","-","-"
"50","Nate Thompson","L.A","C","34","1984-10-05","Anchorage","AK","USA","USA","72","207","2003","BOS","6","16","183"
"756","Nathan Bastian","N.J","R","21","1997-12-06","Kitchener","ON","CAN","CAN","76","188","2016","N.J","2","11","41"
"408","Nathan Beaulieu","BUF","D","26","1992-12-05","Strathroy","ON","CAN","CAN","74","200","2011","MTL","1","17","17"
"547","Nathan MacKinnon","COL","C","23","1995-09-01","Halifax","NS","CAN","CAN","72","205","2013","COL","1","1","1"
"570","Nathan Walker","WSH","L","24","1994-02-07","Cardiff","","GBR","AUS","69","186","2014","WSH","3","29","89"
"236","Nazem Kadri","TOR","C","28","1990-10-06","London","ON","CAN","CAN","72","192","2009","TOR","1","7","7"
"802","Neal Pionk","NYR","D","23","1995-07-29","Hermantown","MN","USA","USA","72","186","-","-","-","-","-"
"626","Nelson Nogier","WPG","D","22","1996-05-27","Saskatoon","SK","CAN","CAN","74","191","2014","WPG","4","11","101"
"275","Nic Dowd","WSH","C","28","1990-05-27","Huntsville","AL","USA","USA","74","197","2009","L.A","7","17","198"
"538","Nic Petan","WPG","L","23","1995-03-22","Delta","BC","CAN","CAN","69","179","2013","WPG","2","13","43"
"305","Nick Bjugstad","FLA, PIT","C","26","1992-07-17","Minneapolis","MN","USA","USA","78","215","2010","FLA","1","19","19"
"139","Nick Bonino","NSH","C","30","1988-04-20","Hartford","CT","USA","USA","73","196","2007","S.J","6","22","173"
"367","Nick Cousins","ARI","C","25","1993-07-20","Belleville","ON","CAN","CAN","71","185","2011","PHI","3","7","68"
"106","Nick Foligno","CBJ","L","31","1987-10-31","Buffalo","NY","USA","USA","72","202","2006","OTT","1","28","28"
"173","Nick Holden","VGK","D","31","1987-05-15","St. Albert","AB","CAN","CAN","76","214","-","-","-","-","-"
"273","Nick Jensen","DET","D","28","1990-09-21","St. Paul","MN","USA","USA","72","194","2009","DET","5","29","150"
"242","Nick Leddy","NYI","D","27","1991-03-20","Eden Prairie","MN","USA","USA","72","207","2009","MIN","1","16","16"
"520","Nick Paul","OTT","L","23","1995-03-20","Mississauga","ON","CAN","CAN","76","230","2013","DAL","4","10","101"
"592","Nick Ritchie","ANA","L","23","1995-12-05","Orangeville","ON","CAN","CAN","74","234","2014","ANA","1","10","10"
"602","Nick Schmaltz","ARI, CHI","C","22","1996-02-23","Madison","WI","USA","USA","72","177","2014","CHI","1","20","20"
"362","Nick Seeler","MIN","D","25","1993-06-03","Eden Prairie","MN","USA","USA","74","198","2011","MIN","5","10","131"
"123","Nicklas Backstrom","WSH","C","31","1987-11-23","Gävle","","SWE","SWE","73","210","2006","WSH","1","4","4"
"785","Nico Hischier","N.J","C","20","1999-01-04","Brig","","CHE","CHE","73","175","2017","N.J","1","1","1"
"617","Nicolas Aube-Kubel","PHI","R","22","1996-05-10","Slave Lake","AB","CAN","CAN","71","187","2014","PHI","2","18","48"
"261","Nicolas Deslauriers","MTL","L","27","1991-02-22","LaSalle","QC","CAN","CAN","73","221","2009","L.A","3","23","84"
"684","Nicolas Roy","CAR","C","21","1997-02-05","Amos","QC","CAN","CAN","76","208","2015","CAR","4","5","96"
"392","Nikita Kucherov","T.B","R","25","1993-06-17","Maykop","","RUS","RUS","71","178","2011","T.B","2","28","58"
"607","Nikita Scherbak","L.A","R","23","1995-12-30","Moscow","","RUS","RUS","74","192","2014","MTL","1","26","26"
"649","Nikita Soshnikov","STL","R","25","1993-10-14","Nizhny Tagil","","RUS","RUS","71","185","-","-","-","-","-"
"561","Nikita Zadorov","COL","D","23","1995-04-16","Moscow","","RUS","RUS","77","230","2013","BUF","1","16","16"
"764","Nikita Zaitsev","TOR","D","27","1991-10-29","Moscow","","RUS","RUS","74","193","-","-","-","-","-"
"95","Niklas Hjalmarsson","ARI","D","31","1987-06-06","Eksjo","","SWE","SWE","75","197","2005","CHI","4","17","108"
"9","Niklas Kronwall","DET","D","38","1981-01-12","Stockholm","","SWE","SWE","72","194","2000","DET","1","29","29"
"591","Nikolaj Ehlers","WPG","L","22","1996-02-14","Aalborg","","DNK","DNK","72","172","2014","WPG","1","9","9"
"608","Nikolay Goldobin","VAN","R","23","1995-10-07","Moscow","","RUS","RUS","71","196","2014","S.J","1","27","27"
"323","Nino Niederreiter","CAR, MIN","R","26","1992-09-08","Chur","","CHE","CHE","74","218","2010","NYI","1","5","5"
"650","Noah Hanifin","CGY","D","22","1997-01-25","Boston","MA","USA","USA","75","215","2015","CAR","1","5","5"
"680","Noah Juulsen","MTL","D","21","1997-04-02","Surrey","BC","CAN","CAN","74","193","2015","MTL","1","26","26"
"705","Noel Acciari","BOS","C","27","1991-12-01","Johnston","RI","USA","USA","70","205","-","-","-","-","-"
"778","Nolan Patrick","PHI","C","20","1998-09-19","Winnipeg","MB","CAN","CAN","74","198","2017","PHI","1","2","2"
"517","Oliver Bjorkstrand","CBJ","R","23","1995-04-10","Herning","","DNK","DNK","72","177","2013","CBJ","3","28","89"
"235","Oliver Ekman-Larsson","ARI","D","27","1991-07-17","Karlskrona","","SWE","SWE","74","200","2009","PHX","1","6","6"
"670","Oliver Kylington","CGY","D","21","1997-05-19","Stockholm","","SWE","SWE","72","183","2015","CGY","2","30","60"
"440","Olli Maatta","PIT","D","24","1994-08-22","Jyväskylä","","FIN","FIN","74","206","2012","PIT","1","22","22"
"641","Ondrej Kase","ANA","R","23","1995-11-08","Kadan","","CZE","CZE","72","186","2014","ANA","7","25","205"
"351","Ondrej Palat","T.B","L","27","1991-03-28","Frydek-Mistek","","CZE","CZE","72","188","2011","T.B","7","27","208"
"803","Oscar Fantenberg","L.A","D","27","1991-10-07","Ljunby","","SWE","SWE","72","206","-","-","-","-","-"
"409","Oscar Klefbom","EDM","D","25","1993-07-20","Karlstad","","SWE","SWE","75","216","2011","EDM","1","19","19"
"286","Oscar Lindberg","VGK","C","27","1991-10-29","Skellefteå","","SWE","SWE","73","202","2010","PHX","2","27","57"
"634","Oskar Lindblom","PHI","L","22","1996-08-15","Gävle","","SWE","SWE","73","191","2014","PHI","5","18","138"
"456","Oskar Sundqvist","STL","C","24","1994-03-23","Boden","","SWE","SWE","75","209","2012","PIT","3","20","81"
"148","P.K. Subban","NSH","D","29","1989-05-13","Toronto","ON","CAN","CAN","72","210","2007","MTL","2","13","43"
"823","Par Lindholm","TOR","C","27","1991-10-05","Kusmark","","SWE","SWE","72","183","-","-","-","-","-"
"143","Pat Maroon","STL","L","30","1988-04-23","St. Louis","MO","USA","USA","75","225","2007","PHI","6","10","161"
"99","Patric Hornqvist","PIT","R","32","1987-01-01","Sollentuna","","SWE","SWE","71","189","2005","NSH","7","36","230"
"45","Patrice Bergeron","BOS","C","33","1985-07-24","Ancienne-Lorette","QC","CAN","CAN","73","195","2003","BOS","2","15","45"
"43","Patrick Eaves","ANA","R","34","1984-05-01","Calgary","AB","CAN","USA","70","203","2003","OTT","1","29","29"
"161","Patrick Kane","CHI","R","30","1988-11-19","Buffalo","NY","USA","USA","71","177","2007","CHI","1","1","1"
"4","Patrick Marleau","TOR","C","39","1979-09-15","Aneroid","SK","CAN","CAN","74","218","1997","S.J","1","2","2"
"766","Patrick Russell","EDM","R","26","1993-01-04","Bickenrod","","DNK","DNK","73","203","-","-","-","-","-"
"118","Patrik Berglund","BUF","C","30","1988-06-02","Västerås","","SWE","SWE","76","215","2006","STL","1","25","25"
"735","Patrik Laine","WPG","R","20","1998-04-19","Tampere","","FIN","FIN","77","206","2016","WPG","1","2","2"
"298","Patrik Nemeth","COL","D","26","1992-02-08","Stockholm","","SWE","SWE","75","219","2010","DAL","2","11","41"
"145","Paul Byron","MTL","L","29","1989-04-27","Ottawa","ON","CAN","CAN","69","163","2007","BUF","6","28","179"
"138","Paul Carey","OTT","C","30","1988-09-24","Boston","MA","USA","USA","73","200","2007","COL","5","14","135"
"484","Paul LaDue","L.A","D","26","1992-09-06","Grand Forks","ND","USA","USA","74","200","2012","L.A","6","30","181"
"75","Paul Stastny","VGK","C","33","1985-12-27","Quebec City","QC","CAN","USA","72","193","2005","COL","2","14","44"
"512","Pavel Buchnevich","NYR","R","23","1995-04-17","Cherepovets","","RUS","RUS","74","196","2013","NYR","3","14","75"
"655","Pavel Zacha","N.J","C","21","1997-04-06","Brno","","CZE","CZE","75","210","2015","N.J","1","6","6"
"518","Peter Cehlarik","BOS","L","23","1995-08-02","Zilina","","SVK","SVK","74","202","2013","BOS","3","29","90"
"121","Phil Kessel","PIT","R","31","1987-10-02","Madison","WI","USA","USA","72","202","2006","BOS","1","5","5"
"271","Phil Varone","PHI","C","28","1990-12-04","Vaughan","ON","CAN","CAN","70","188","2009","S.J","5","26","147"
"413","Phillip Danault","MTL","C","25","1993-02-24","Victoriaville","QC","CAN","CAN","73","198","2011","CHI","1","26","26"
"434","Phillip Di Giuseppe","CAR, NSH","L","25","1993-10-09","Toronto","ON","CAN","CAN","72","192","2012","CAR","2","8","38"
"581","Pierre-Edouard Bellemare","VGK","C, L","33","1985-03-06","Le Blanc-Mesnil","","FRA","FRA","72","198","-","-","-","-","-"
"751","Pierre-Luc Dubois","CBJ","C","20","1998-06-24","Ste-Agathe-Des-Monts","QC","CAN","CAN","75","207","2016","CBJ","1","3","3"
"433","Pontus Aberg","ANA, MIN","L","25","1993-09-23","Stockholm","","SWE","SWE","71","196","2012","NSH","2","7","37"
"452","Radek Faksa","DAL","C","25","1994-01-09","Vitkov","","CZE","CZE","75","220","2012","DAL","1","13","13"
"804","Radim Simek","S.J","D","26","1992-09-20","Mlada Boleslav","","CZE","CZE","71","200","-","-","-","-","-"
"280","Radko Gudas","PHI","D","28","1990-06-05","Prague","","CZE","CZE","72","204","2010","T.B","3","6","66"
"651","Rasmus Andersson","CGY","D","22","1996-10-27","Malmö","","SWE","SWE","73","214","2015","CGY","2","23","53"
"820","Rasmus Dahlin","BUF","D","18","2000-04-13","Trollhattan","","SWE","SWE","75","190","2018","BUF","1","1","1"
"554","Rasmus Ristolainen","BUF","D","24","1994-10-27","Turku","","FIN","FIN","76","215","2013","BUF","1","8","8"
"375","Reid Boucher","VAN","C","25","1993-09-08","Lansing","MI","USA","USA","70","195","2011","N.J","4","8","99"
"246","Reilly Smith","VGK","R","27","1991-04-01","Toronto","ON","CAN","CAN","72","185","2009","DAL","3","8","69"
"535","Remi Elie","BUF","L","23","1995-04-16","Cornwall","ON","CAN","CAN","73","215","2013","DAL","2","10","40"
"253","Richard Panik","ARI","R","27","1991-02-07","Martin","","SVK","SVK","73","208","2009","T.B","2","22","52"
"415","Rickard Rakell","ANA","C, L","25","1993-05-05","Sundbyberg","","SWE","SWE","74","202","2011","ANA","1","30","30"
"150","Riley Nash","CBJ","C","29","1989-05-09","Consort","AB","CAN","CAN","73","190","2007","EDM","1","21","21"
"312","Riley Sheahan","FLA, PIT","C","27","1991-12-07","St. Catharines","ON","CAN","CAN","75","214","2010","DET","1","21","21"
"603","Robby Fabbri","STL","C","23","1996-01-22","Mississauga","ON","CAN","CAN","70","190","2014","STL","1","21","21"
"162","Robert Bortuzzo","STL","D","29","1989-03-18","Thunder Bay","ON","CAN","CAN","76","216","2007","PIT","3","17","78"
"536","Robert Hagg","PHI","D","23","1995-02-08","Uppsala","","SWE","SWE","74","204","2013","PHI","2","11","41"
"789","Robert Thomas","STL","C","19","1999-07-02","Aurora","ON","CAN","CAN","72","188","2017","STL","1","20","20"
"377","Rocco Grimaldi","NSH","C","25","1993-02-08","Anaheim","CA","USA","USA","66","180","2011","FLA","2","3","33"
"195","Roman Josi","NSH","D","28","1990-06-01","Bern","","CHE","CHE","73","201","2008","NSH","2","8","38"
"70","Roman Polak","DAL","D","32","1986-04-28","Ostrava","","CZE","CZE","74","240","2004","STL","6","17","180"
"6","Ron Hainsey","TOR","D","37","1981-03-24","Bolton","CT","USA","USA","75","205","2000","MTL","1","13","13"
"678","Roope Hintz","DAL","L","22","1996-11-17","Tampere","","FIN","FIN","75","215","2015","DAL","2","19","49"
"567","Ross Johnston","NYI","L","24","1994-02-18","Charlottetown","PE","CAN","CAN","77","235","-","-","-","-","-"
"637","Rourke Chartier","S.J","C","22","1996-04-03","Saskatoon","SK","CAN","CAN","71","190","2014","S.J","5","29","149"
"714","Rudolfs Balcers","OTT","L","21","1997-04-08","Latvia","","LVA","LVA","71","175","2015","S.J","5","21","142"
"69","Ryan Callahan","T.B","R","33","1985-03-21","Rochester","NY","USA","USA","70","187","2004","NYR","4","29","127"
"574","Ryan Carpenter","VGK","C","28","1991-01-18","Oviedo","FL","USA","USA","72","200","-","-","-","-","-"
"619","Ryan Donato","BOS","C","22","1996-04-09","Boston","MA","USA","USA","72","193","2014","BOS","2","26","56"
"350","Ryan Dzingel","OTT","L","26","1992-03-09","Wheaton","IL","USA","USA","72","190","2011","OTT","7","23","204"
"238","Ryan Ellis","NSH","D","28","1991-01-03","Hamilton","ON","CAN","CAN","70","180","2009","NSH","1","11","11"
"38","Ryan Getzlaf","ANA","C","33","1985-05-10","Regina","SK","CAN","CAN","76","225","2003","ANA","1","19","19"
"523","Ryan Graves","COL","D","23","1995-05-21","Yarmouth","NS","CAN","CAN","77","226","2013","NYR","4","19","110"
"528","Ryan Hartman","NSH","R","24","1994-09-20","Hilton Head Isl.","SC","USA","USA","72","181","2013","CHI","1","30","30"
"319","Ryan Johansen","NSH","C","26","1992-07-31","Vancouver","BC","CAN","CAN","75","218","2010","CBJ","1","4","4"
"40","Ryan Kesler","ANA","C","34","1984-08-31","Livonia","MI","USA","USA","74","206","2003","VAN","1","23","23"
